,index,Unnamed: 0,card_id,city_id,merchant_category_id,merchant_id,purchase_amount,purchase_date,state_id,subsector_id,currency,carbonEmissionInGrams
0,0,0,C_ID_415bb3a509,107,3662,M_ID_b0c793002c,191,2018-03-11 14:57:36,9,19,CHF,45136.49
1,1,1,C_ID_415bb3a509,140,3843,M_ID_88920c89e8,181,2018-03-19 18:53:37,9,19,RUB,546.0
2,2,2,C_ID_415bb3a509,330,3230,M_ID_ad5237ef6b,688,2018-04-26 14:08:44,9,14,SEK,96378.72
3,3,3,C_ID_415bb3a509,-1,5812,M_ID_9e84cda3b1,436,2018-03-07 09:43:21,-1,8,CAD,136253.86
4,4,4,C_ID_ef55cf8d4b,-1,3839,M_ID_3c86fa3831,976,2018-03-22 21:07:53,-1,29,SEK,25217.61
5,5,5,C_ID_ef55cf8d4b,231,3089,M_ID_8874615e00,833,2018-04-02 12:53:28,9,16,RUB,13623.83
6,6,6,C_ID_ef55cf8d4b,69,3029,M_ID_6d061b5ddc,286,2018-03-28 19:50:19,9,10,GBP,472963.42
7,7,7,C_ID_ef55cf8d4b,231,3548,M_ID_df1e022f41,895,2018-04-05 08:06:52,9,19,EUR,234769.09
8,8,8,C_ID_ef55cf8d4b,69,3921,M_ID_d15eae0468,779,2018-04-07 18:37:40,9,37,SEK,20127.58
9,9,9,C_ID_ef55cf8d4b,69,3669,M_ID_5f9bffd028,652,2018-03-17 18:10:41,9,15,PLN,37266.85
10,10,10,C_ID_ef55cf8d4b,69,3121,M_ID_3ffd43b4cd,607,2018-03-31 09:55:40,9,18,EUR,863267.1
11,11,11,C_ID_ef55cf8d4b,69,3014,M_ID_e6f5213fbf,965,2018-03-11 12:53:41,9,34,AUD,891242.93
12,12,12,C_ID_ef55cf8d4b,69,3811,M_ID_aa97bc87f6,917,2018-03-14 14:07:43,9,37,DKK,32328.57
13,13,13,C_ID_ef55cf8d4b,69,3962,M_ID_28fbc8c74d,159,2018-04-14 09:27:45,9,29,RUB,479.64
14,14,14,C_ID_ef55cf8d4b,-1,3714,M_ID_b9f9332438,579,2018-03-23 21:35:53,-1,22,AUD,98629.93
15,15,15,C_ID_ef55cf8d4b,231,3584,M_ID_ad15049b64,870,2018-04-18 12:41:48,9,37,CAD,152148.47
16,16,16,C_ID_ef55cf8d4b,69,3050,M_ID_51757498fd,644,2018-03-11 12:38:56,9,19,USD,769620.68
17,17,17,C_ID_ef55cf8d4b,69,7278,M_ID_a1183a4e5e,944,2018-04-22 15:00:27,9,34,AUD,151017.78
18,18,18,C_ID_ef55cf8d4b,231,3964,M_ID_f74d9cbbd0,557,2018-03-01 14:26:52,9,10,RUB,1680.24
19,19,19,C_ID_ef55cf8d4b,231,3402,M_ID_f0bf60c061,426,2018-03-22 09:57:23,9,27,USD,98390.02
20,20,20,C_ID_ef55cf8d4b,231,5797,M_ID_2ae6547567,219,2018-03-20 10:37:33,9,37,DKK,7250.82
21,21,21,C_ID_ef55cf8d4b,-1,3879,M_ID_79692349d6,524,2018-03-30 20:05:54,-1,3,CAD,91638.85
22,22,22,C_ID_ef55cf8d4b,231,5775,M_ID_532b2abc39,192,2018-04-06 13:28:22,9,34,SEK,4658.88
23,23,23,C_ID_ef55cf8d4b,69,3759,M_ID_99c89d936e,794,2018-03-24 14:58:30,9,27,USD,175013.98
24,24,24,C_ID_ef55cf8d4b,-1,3051,M_ID_3111c6df35,241,2018-03-03 11:40:58,-1,1,EUR,342746.91
25,25,25,C_ID_ef55cf8d4b,69,3414,M_ID_7fc4685211,669,2018-03-17 12:32:31,9,34,GBP,213815.03
